short_name,long_name
PREFIT Battery,Field-based FITness testing in PREschool children
PROMIS Parent Proxy Short Form v1.0 - Physical Activity 4a,Patient-Reported Outcomes Mea...
PROMIS Parent Proxy Short Form v1.0 - Physical Activity 8a,Patient-Reported Outcomes Mea...
PROMIS Pediatric Bank v1.0 - Physical Activity,Patient-Reported Outcomes Measurement Inf...
PROMIS Pediatric Short Form v1.0 - Physical Activity 4a,Patient-Reported Outcomes Measur...
TUDS,Timed Up and Down Stairs
PROMIS Pediatric Short Form v1.0 - Physical Activity 8a,Patient-Reported Outcomes Measur...
ACTIVLIM-CP,Activity Limitations Questionnaire-Cerebral Palsy
FMI-13,Freiburg Mindfulness Inventory-13
Upper extremity 3D reachable workspace outcome measure,Upper extremity 3-dimensional rea...
ASK©-Capability,Activities Scale for Kids©-Capability
ASK©-Performance,Activities Scale for Kids©-Performance
ACTIVLIM,Activity Limitations Questionnaire
ACTIVLIM-Stroke,Activity Limitation Questionnaire-Stroke
ACHS,Assessment of Children's Hand Skills
CHSQ,Children's Hand-Skills ability Questionnaire
CAT-SC,Computerized Adaptive Testing System for Measuring Self-Care Performance
SUMD - abbreviated version,Scale to Assess Unawareness of Mental Disorder - abbreviated ...
Vineland III-MBD Domain-Level Interview Form,Vineland Adaptive Behavior Scales – Third E...
VABS III-MBD Comprehensive Parent/Caregiver,Vineland Adaptive Behavior Scales – Third Ed...
Vineland III-MBD Domain-Level Parent/Caregiver Form,Vineland Adaptive Behavior Scales – ...
AAQ-OC,Acceptance and Action Questionnaire for Obsessions and Compulsions
CVD-AAQ,Cardiovascular Disease Acceptance and Action Questionnaire
AADQ,Acceptance and Action Diabetes Questionnaire
AAQ-SA,Acceptance and Action Questionnaire - Substance Abuse
Vineland II - Expanded Interview form,Vineland Adaptive Behaviour Scales II - Expanded I...
Vineland II - Parent/Caregiver form,Vineland Adaptive Behaviour Scales II - Parent/Careg...
Vineland II - Teacher Rating form,Vineland Adaptive Behaviour Scales II - Teacher Rating...
APFQ - Self-administered,Australian Pelvic Floor Questionnaire - Self-administered versi...
ENLIST ENL Severity Scale,Erythema Nodosum Leprosum International Study Erythema Nodosum...
GDSS,Glasgow Dyspepsia Severity Score
IKHOAM,Ibadan Knee/Hip Osteoarthritis Outcome Measure
Low-Back SF-36 PF18,Low-Back Short Form-36 Physical Functioning
Modified Von Korff Scales,Modified Von Korff Scales
PEDI-CAT (ASD),Pediatric Evaluation of Disability Inventory-Computer Adaptive Test (Auti...
MAL-14,Motor Activity Log
PEDI-PRO,Pediatric Evaluation of Disability Inventory-Patient Reported Outcome
MWC PEDI-CAT,Manual Wheelchair Short Scale Pediatric Evaluation of Disability Inventory-...
PMAL,Pediatric Motor Activity Log
PMAL-R,Pediatric Motor Activity Log - Revised version
PQ,Perform Questionnaire
ASDAS-CRP,Ankylosing Spondylitis Disease Activity Score-C-reactive protein
TOPIC-Q,Oxford Psychological Investigation of Coronavirus questionnaire
Olfactory Questionnaire,Olfactory Questionnaire
PRP,Pictoral Representation of Pain
RDRS,Raskin Depression Rating Scale
ROE,Rhinoplasty Outcomes Evaluation
RMDQ-23,Roland-Morris Disability Questionnaire - 23-items
DISABKIDS DCGM-12 - Proxy,Chronic Generic Module – Short version - Proxy version
DISABKIDS DCGM-37 - Proxy,Chronic Generic Module - Long version - Proxy version
KAP Survey regarding PPE among health care workers for the prevention of COVID-19,Knowle...
KAP Towards COVID-19 Public Health Preventive Measures,"Knowledge, Attitudes and Practice..."
Epidemic Worry Scale,Epidemic Worry Scale
Supportive Attitude toward Epidemic Prevention Measures Scale,Supportive Attitude toward...
Early-Detection Covid-19 Admissions Model,Early-Detection COVID-19 Admissions Model
Early-Detection Covid-19 ED Model,Early-Detection COVID-19 Emergency Department Model
Covid-Epilepsy Questionnaire,Covid-Epilepsy Questionnaire
DEBQ-C,Dutch Eating Behavior Questionnaire - Child version
Covid-Epilepsy Follow-Up Questionnaire,Covid-Epilepsy Follow-Up Questionnaire
Community Pharmacists' Response Preparedness during COVID-19 Questionnaire,Community Pha...
SIUD - Covid-19 Questionnaire,Italian Society of Urodynamics - Covid-19 Questionnaire
MuLBSTA Score,"Multilobular infiltration, hypo-Lymphocytosis, Bacterial coinfection, Smok..."
ELCSA,Latin American and Caribbean Food Security Scale
CRISIS - Adult Self-Report Full Version Follow-Up,CoRonavIruS health and Impact Survey -...
CRISIS - Parent/Caregiver Full-Version Baseline,CoRonavIruS health and Impact Survey - P...
CRISIS - Parent/Caregiver Full-Version Follow-Up,CoRonavIruS health and Impact Survey - ...
SEMI,Subjective Experience of Medication Interview
SRRS,Social Readjustment Rating Scale
STOP questionnaire,"Snoring, Tiredness during daytime, Observed apnea, and high blood Pre..."
ANT,Animal Naming Test
MSIOA,Multiple Sclerosis Individual Outcome Assessment
BAC-A,Brief Assessment of Cognition in Affective Disorders
BAC-SF,Brief Assessment of Cognition - Short form
CR-PCSS,Clinician Reported Photonumeric Cellulite Severity Scale
SPI,Sleep Problems Index
L-IPF Impacts,Living with Idiopathic Pulmonary Fibrosis (L-IPF) Impacts Questionnaire
ABI,Autism Behavior Inventory
iMCQ,iMedical Consumption Questionnaire
TIC-P,Treatment Inventory of Costs in Patients with psychiatric disorders
PCS-S,Pain Catastrophizing Scale - Significant Other
MMQL - Adolescent Form,Minneapolis-Manchester Quality of Life instrument - Adolescent Fo...
MMQL - Adult Form,Minneapolis-Manchester Quality of Life instrument - Adult Form
RDC/TMD,Research Diagnostic Criteria for TemporoMandibular Disorders
ABI-S,Autism Behavior Inventory - Short form
SMAIS-ULM Caregiver Report,Spinal Muscular Atrophy Independence Scale - Upper Limb Modul...
COVID-19-Related Symptoms Assessment,COVID-19-Related Symptoms Assessment
SPA,Strength and Pain Assessment
FCV-19S,Fear of COVID-19 Scale
PCFS,Post-COVID-19 Functional Status scale
SSQ,Seizure Severity Questionnaire
GHIQ,Growth Hormone Injection Questionnaire
TSK,Tampa Scale of Kinesiophobia
CIAS,COVID-19 Induced Anxiety Scale
PBCS,Protective Behaviors towards COVID-19 Scale
CRKS,COVID-19 Related Knowledge Scale
CHES,COVID-19 Household Environment Scale
FCFI,Fear of COVID-19 Familial Infection Scale
WOB,Work of Breathing Scale
SFU COVID-19 impact scale,Simon Fraser University COVID-19 impact scale
ESAS,Elective Surgery Acuity Scale
LWSS,Lemperle Wrinkle Severity Scale
BCRSS,Brescia-Covid Respiratory Severity Scale
PHQ-4,Patient Health Questionnaire-4 items
PHQ-8,Patient Health Questionnaire-8 items
PHQ-2,Patient Health Questionnaire-2 items
C-19ASS,COVID-19 Anxiety Syndrome Scale
COVID-GRAM,COVID-GRAM Critical Illness Risk Score
COV19-QoL,COVID-19–Impact on Quality of Life scale
OCS,Obsession with COVID-19 Scale
CRBS,Coronavirus Reassurance-Seeking Behaviors Scale
SSS,Stanford Sleepiness Scale
TAQ,Treatment Attitudes Questionnaire
WPAI:SHP,Work Productivity and Activity Impairment Questionnaire: Specific Health Proble...
ABILHAND,ABILHAND
ABILHAND - KIDS,ABILHAND - KIDS
WHODAS,WHO Disability Assessment Schedule
XI,Xerostomia Inventory
ALSSQOL,Amyotrophic Lateral Sclerosis Specific Quality of Life
ALSSQOL-R,Amyotrophic Lateral Sclerosis Specific Quality of Life-Revised
BASQID,Bath Assessment of Subjective Quality of Life in Dementia
CIPN32,Chemotherapy-Induced Peripheral Neuropathy Survey 32
FLI,Functional Living Index - adapted to type 2 diabetes
MQOL,McGill Quality of Life Questionnaire
WSAS,Work and Social Adjustment Scale
PCTQ,Perceived Coronavirus Threat Questionnaire
BFI-10,Big Five 10
FGRCQ,Federal Governmental Response to Coronavirus Questionnaire
SGRCQ,State Governmental Response to Coronavirus Questionnaire
CGRCQ,City Governmental Response to Coronavirus Questionnaire
CIQ,Coronavirus Impacts Questionnaire
CEQ,Coronavirus Experiences Questionnaire
PCTQ-S,Perceived Coronavirus Threat Questionnaire-Short
GRCQ-S,Governmental Response to Coronavirus Questionnaire-Short
CIQ-S,Coronavirus Impacts Questionnaire-Short
CEQ-S,Coronavirus Experiences Questionnaire-Short
NCI CTCAE v3.0,National Cancer Institute Common Terminology Criteria for Adverse Events
PRO-CTCAE,Patient-Reported Outcomes – Common Terminology Criteria for Adverse Events
SOAPP-8,Screener and Opioid Assessment for Patients with Pain – 8 items
COMM-9,Current Opioid Misuse Measure - 9 items
mHAQ,The Modified Health Assessment Questionnaire
PCSS,Prostate Cancer Symptom Scale
PCSI,Prostate Cancer Peer Support Inventory
A-IQOLS,Asthma Impact on Quality of Life Scale
SCS,Self-Control Scale
PN-QOL,Peripheral Neuropathy Quality-of-Life instrument
IVI-VLV,Impact of Vision Impairment Very Low Vision
HIGH-C-SR,Hypomania Interview Guide (Including Hyperthymia) – Current Assessment (Self-R...
FSDS-R,Female Sexual Distress Scale – Revised
FSDS-DAO,Female Sexual Distress Scale – Desire / Arousal / Orgasm
UAS-TD,Urticaria Activity Score - Twice Daily
DAS,Diabetes Acceptance Scale
DAS-SF,Diabetes Acceptance Scale - Short Form
CADSS-1,Clinician-Administered Dissociative States Scale
sIRLS,Self-Completed International Restless Legs Syndrome Study Group Severity Rating Sc...
Block_DFE,Block Folic Acid / Dietary Folate Equivalents Screener
CD-PRO/SS,Crohn's Disease Signs and Symptoms
UC-PRO/SS,Ulcerative Colitis Signs and Symptoms
SOBDA,Shortness of Breath with Daily Activity
QIDS-SRD14,14-item Quick Inventory of Depressive Symptomatology – Self Report - Daily
VQIDS-SR5,Very Quick Inventory of Depressive Symptomatology
Neuro-QoL Bank v2.0 - HDQLIFE - Chorea,Quality of Life in Neurological Disorders Bank v2...
Neuro-QoL Bank v2.0 - HDQLIFE - Concern with Death and Dying,Quality of Life in Neurolog...
Neuro-QoL Bank v2.0 - HDQLIFE - Speech Difficulties,Quality of Life in Neurological Diso...
Neuro-QoL Bank v2.0 - HDQLIFE - Swallowing Difficulties,Quality of Life in Neurological ...
Neuro-QoL Item Bank v1.0 - Depression,Quality of Life in Neurological Disorders Item Ban...
Neuro-QoL Item Bank v1.0 - Emotional and Behavioral Dyscontrol,Quality of Life in Neurol...
Neuro-QoL Item Bank v1.0 - Lower Extremity Function - Mobility,Quality of Life in Neurol...
Neuro-QoL Item Bank v1.0 - Pediatric Social Relationships - Interaction With Peers,Quali...
MWQ,Munich Wrist Questionnaire
Neuro-QoL Item Bank v1.0 - Pediatric Stigma,Quality of Life in Neurological Disorders It...
Neuro-QoL Item Bank v1.0 - Positive Affect And Well-Being,Quality of Life in Neurologica...
Neuro-QoL Item Bank v1.0 - Stigma,Quality of Life in Neurological Disorders Item Bank v1...
Neuro-QoL Item Bank v1.1 - Satisfaction With Social Roles and Activities,Quality of Life...
Neuro-QoL Item Bank v2.0 - Cognitive Function,Quality of Life in Neurological Disorders ...
PASQoL,Postanaesthesia Short‐term Quality of Life tool
IOF-wrist fracture questionnaire,International Osteoporosis Foundation wrist fracture qu...
Neuro-QoL Item Bank v2.0 - Pediatric Cognitive Function,Quality of Life in Neurological ...
Neuro-QoL Item Bank v2.1 - Pediatric Fatigue,Quality of Life in Neurological Disorders I...
Neuro-QoL Scale v1.1 - Pediatric Lower Extremity,Quality of Life in Neurological Disorde...
Neuro-QoL Scale v2.0 - HDQLIFE - End of Life Planning,Quality of Life in Neurological Di...
Neuro-QoL Bank v1.0 - Ability To Participate In Social Roles and Activities,Quality of L...
Neuro-QoL Bank v1.0 - Anxiety,Quality of Life in Neurological Disorders Bank v1.0 - Anxi...
Neuro-QoL Short Form v1.0 - Anxiety,Quality of Life in Neurological Disorders Short Form...
Neuro-QoL Item Bank v1.0 - Pediatric Anxiety,Quality of Life in Neurological Disorders I...
Neuro-QoL Short Form v1.0 - Pediatric Anxiety,Quality of Life in Neurological Disorders ...
Neuro-QoL Item Bank v1.1 - Pediatric Depression,Quality of Life in Neurological Disorder...
Neuro-QoL Short Form v1.0 - Pediatric Anger,Quality of Life in Neurological Disorders It...
Neuro-QoL Short Form v1.0 - Pediatric Pain,Quality of Life in Neurological Disorders Sho...
Neuro-QoL Short Form v1.0 - Pediatric Stigma,Quality of Life in Neurological Disorders S...
Neuro-QoL Short Form v1.0 - Positive Affect and Well-Being,Quality of Life in Neurologic...
Neuro-QoL Short Form v1.0 - Stigma,Quality of Life in Neurological Disorders Short Form ...
Neuro-QoL Short Form v1.0 - Sleep Disturbance,Quality of Life in Neurological Disorders ...
"Neuro-QoL Short Form v1.0 - Upper Extremity Function - Fine Motor, ADL",Quality of Life i...
Neuro-QoL Short Form v2.0 - HDQLIFE - Chorea 6a,Quality of Life in Neurological Disorder...
Neuro-QoL Short Form v2.0 - HDQLIFE - Concern with Death and Dying 6a,Quality of Life in...
Neuro-QoL Short Form v2.0 - HDQLIFE - Speech Difficulties 6a,Quality of Life in Neurolog...
Neuro-QoL Short Form v2.0 - HDQLIFE - Swallowing Difficulties 6a,Quality of Life in Neur...
CLEQoL,Cutaneous Lupus Erythematosus Quality of Life
QGEN®-8,The Quality of Life General Form - 8-item
QGEN®-10,The Quality of Life General Form - 10 item
QGEN-CAT,The Quality of Life General Form - Computerized Adaptive Testing form
DABS,Derogatis Affects Balance Scale
DABS-SF,Derogatis Affects Balance Scale - Short Form
DSP®,Derogatis Stress Profile
Haemo-QoL Index,Haemophilia Quality of Life Questionnaire Index
CSI,Central Sensitization Inventory
CAHP,Childhood Arthritis Health Profile
CASE,Children's Arthritis Self-Efficacy
CIJSS,Chronic Illness Job Strain Scale
PD-CRS,Parkinson's Disease-Cognitive Rating Scale
SWOG-QoL,Southwest Oncology Group - Quality of life questionnaire
vsSK-29,vulvar-specific SKindex-29
ESSPRI,European League Against Rheumatism (EULAR) Sjögren syndrome Patient-Reported Inde...
ESSDAI,European League Against Rheumatism (EULAR) Sjögren Syndrome Disease Activity Inde...
FPS,Faces Pain Scale
HIGH-R,Hypomania Interview Guide (Including Hyperthymia) – Retrospective Assessment (Int...
AQ,Aggression Questionnaire
DEQ-5,5-Item Dry Eye Questionnaire
EORTC QLQ-BLM30,EORTC Quality of Life Questionnaire - Muscle Invasive Bladder Cancer
CADI,Cardiff Acne Disability Index
ULM,Upper Limb Module
PUL,Performance of the Upper Limb
MLCDP,Major Life Changing Decision Profile
PFI-14,Psoriasis Family Index
T-QOL,Teenager's Quality of Life Index
FVQ ObsRO,Functional Vision Questionnaire Observer-Reported Outcomes
SABRE,Symptom Assessment for Bronchiectasis
FVQ-CYP,Functional Vision Questionnaire for Children and Young People
ULV-VFQ,Ultra-Low Vision Visual Functioning Questionnaire
FVQ-C,Functional Vision Questionnaire for Children
FVQ-YP,Functional Vision Questionnaire for Young People
PNG-VS QoL,Papua New Guinea Vision-Specific Quality of Life questionnaire
Sramek Bleeding Score,Sramek Bleeding Score
Movement ABC-2,Movement Assessment Battery for Children - Second Edition
ESS,Epistaxis Scoring System
Menorrhagia-Specific Screening Tool,Menorrhagia-Specific Screening Tool
CFAbd-Score,Cystic Fibrosis Abdomen-score
VND-Q,Vision and Night Driving Questionnaire
Catquest,Catquest
Catquest-9SF,Catquest-9 Short Form
VFQ-3oo7,Visual Function Questionnaire 3 out of 7
SOS-SAH,Questionnaire for the Screening of Symptoms in aneurysmal Subarachnoid Hemorrhag...
VQoL-C,Vision-related Quality of Life Questionnaire for Children
ADVS,Activities of Daily Vision Scale
VDA,Visual Disability Assessment
WPAI: Alopecia Areata,Work Productivity and Activity Impairment: Alopecia Areata
CNFDS,Copenhagen Neck Function Disability Scale
Generation Z Nursing Students Questionnaire,Generation Z Nursing Students Questionnaire
PROMIS SF v1.0 – Dyspnea-Severity 5a,Patient Reported Outcomes Measurement Information S...
PROMIS SF v1.0 – Dyspnea-Severity 10a,Patient Reported Outcomes Measurement Information ...
PROMIS SF v1.0 – Dyspnea-Severity 5b,Patient Reported Outcomes Measurement Information S...
PROMIS SF v1.0 – Dyspnea-Functional Limitations 5a,Patient-Reported Outcomes Measurement...
L-PF Impacts,Living with Pulmonary Fibrosis (L-PF) Impacts Questionnaire
L-PF Symptoms,Living with Pulmonary Fibrosis (L-PF) Symptoms Questionnaire
TLMK,Tübinger Lebensqualitätsfragebogen für Männer mit Kinderwunsch
OCS,Oxford Cognitive Screen
NDPOQ,Nutrition and Dietetic Patient Outcomes Questionnaires
LUNSERS,Liverpool University Neuroleptic Side Effect Rating Scale
5-item BOT-2 BF,5-item Bruininks-Oseretsky Test of Motor Proficiency Second Edition-Brie...
CDAQ,Coeliac Disease Assessment Questionnaire
ReQoL,Recovering Quality of Life questionnaire
MSK-HQ,Versus Arthritis Musculoskeletal Health Questionnaire
McMonnies Questionnaire,McMonnies Questionnaire
OXFORD,Oxford Grading Scale
NEI Grading System,National Eye Institute/Industry Grading System
Ora Calibra® Ocular Discomfort Scale,Ora Calibra® Ocular Discomfort Scale
MLDL,Munich Quality-of-life Dimension List
BWAQ,Binge-Watching Addiction Questionnaire
DSMT-Q,Diabetes Self Management Technology Questionnaire
DMD QoL-Proxy,Duchenne Muscular Dystrophy Quality of Life Measure - Proxy
LTCQ,Long-Term Conditions Questionnaire
LTCQ-8,Long-Term Conditions Questionnaire-8
HASMID-10,Health and Self-Management in Diabetes-10
OARS,Oxford Arthroplasty Early Recovery Score
OACS,Oxford Arthroplasty Early Change Score
eHIQ,e-Health Impact Questionnaire
PREOS-PC,Patient Reported Experiences and Outcomes of Safety in Primary Care
MAAQ,Mathematics Attitudes and Anxiety Questionnaire
CCSQ,Chemotherapy Convenience and Satisfaction Questionnaire
PROMIS SF v1.0 – Dyspnea-Functional Limitations 5b,Patient-Reported Outcomes Measurement...
CCLS-9,Caregiver COVID-19 Limitations Scale
AES-S,Apathy Evaluation Scale - Self-rated
AES-I,Apathy Evaluation Scale - Informant version
Distress Scale,Distress Scale
CSES-8,8-item Caregiver Self-Efficacy Scale
KCOVID-19,Knowledge of Caring for COVID-19 Tool
COVID-19 Vaccine KAPC,COVID-19 Vaccine Knowledge Attitude Practices and Concerns
CORPD,COVID-19 related psychological distress in healthy public
PVFS scale,Post-VTE Functional Status scale
Prevention Practices Against COVID-19 in Health Care Workers Questionnaire,Prevention Pr...
MAL-28,Motor Activity Log - 28 items
Socio-Behavioural Questionnaire,Socio-Behavioural Impact of COVID-19 on the General Popu...
Long COVID ST,Long COVID Symptom Tool
Long COVID IT,Long COVID Impact Tool
ARAT,Action Research Arm Test
OCLEI,Online Classroom Learning Environment Inventory
LBOS,Low Back Outcome Score
C19P-S,COVID-19 Phobia Scale
COVID-19 Awareness Among Healthcare Professionals,Coronavirus Disease 2019 Awareness Amo...
PGS,Pandemic Grief Scale
Mental Health Checklist,MHCL
C-19RS,COVID-19 Rumination Scale
CMHC,Concise Mental Health Checklist
CMHC-9,Concise Mental Health Checklist-9
EASE,Self-applied Acute Stress Scale
Modified Bruce Treadmill Exercise test,Modified Bruce Treadmill Exercise test
Smart Working questionnaire,Smart Working questionnaire
Impact of COVID-19 on the Psychosocial Functioning of Peripartum Women Questionnaire,Imp...
MPI,Multidimensional Prognostic Index
TIMP,Test of Infant Motor Performance
Revised Response Criteria for Malignant Lymphoma,Revised Response Criteria for Malignant...
2013 IWG-MRT-ECNM,2013 International Working Group - Myeloproliferative Neoplasms Resear...
Valent and Modified Valent Response Criteria,Valent and Modified Valent Response Criteri...
TIMPSI,Test of Infant Motor Performance Screening Items
KAP - Rural Residents,"Rural Residents' Knowledge, Attitude and Practice for the Preventi..."
HINT,Harris Infant Neuromotor Test
K-AC,Knowledge and Attitude Scale Toward COVID-19 Pandemic Breaking Transmission Chain
GCS-NH,Professional Good Care Scale in Nursing Homes
NASS LSO,North American Spine Society Lumbar Spine Outcome
BIS,Balanced Inventory for Spinal disorders
DMD CaGI-C,Duchenne Muscular Dystrophy Caregiver rating of change
WAI,Working Alliance Inventory
HAQ-II-T,Revised Helping Alliance Questionnaire-Therapist
HAQ-I,Helping Alliance Questionnaire
SUIP-R,Self-Understanding of Interpersonal Patterns Scale
CRQ,Central Relationship Questionnaire
CALPAS,California Psychotherapy Alliance Scale
BACKILL,Back Illness Pain and Disability Scale
GIHS,Galderma Infraorbital Hollows Scale
GTVDS,Galderma Temple Volume Deficit Scale
MINDFIM,MINFIM
DHIsf,Dizziness Handicap Inventory - Short form
LAPMER,Level of Activity in Profound/Severe Mental Retardation
PRE-COVID-19,Scale of Worry for Contagion of COVID-19
CWS,Cancer Worry Scale
CFTS,Contagion Fear and Threat Scale
NSS-P,Pediatric Narcolepsy Severity Scale
SFS,Severe Acute Respiratory Syndrome Fear Scale
RBD-I-9,Innsbruck REM Sleep Behaviour Disorder Inventory 9-item Full Version
NSS-CT,Narcolepsy Severity Scale for Clinical Trials
SQ-ISHI,Satisfaction Questionnaire with Intravenous or Subcutaneous Hemophilia Injection
COVID-19 FQSS,COVID-19 Fears Questionnaire for Systemic Sclerosis
GASS-C,Glasgow Antipsychotic Side-effect Scale for Clozapine
L-IPF Symptoms,Living with Idiopathic Pulmonary Fibrosis (L-IPF) Symptoms Questionnaire
PRAP,Pain Response to Activity and Positioning
DHEQ-15,Dentine Hypersensitivity Experience Questionnaire-15
SARS Self-Efficacy Scale,Severe Acute Respiratory Syndrome Self-Efficacy Scale
Epicovid-19 Questionnaire,Covid-19 National Epidemiological Survey
Block 2007.1 FSFV_GL,Block Fat/Sugar/Fruit/Vegetable Screener
Block 2005_OMFish,Block 2005 Food Frequency Questionnaire - Omega 3/6
4C Deterioration Model,Coronavirus Clinical Characterisation Consortium Deterioration Mo...
CSBSS for Diagnostic Evaluation of COVID-19 Patients,Clinical Symptom-based Scoring Syst...
Block Alaska Supplemental,Block Alaskan Food Supplemental Screener
Block 2014.1,Block 2014 Food Frequency Questionnaire
RECAP-V1,Remote COVID-19 Assessment in Primary Care
ETEA,Essential Tremor Embarrassment Assessment
Block Dialysis.1,Block Dialysis Food Frequency Questionnaire
Block EE_Adult04,Block Adult Energy Expenditure Survey - Year
Block Kids 0-2,Block Infants 0-2 Food Frequency Questionnaire
Block Kids 2000 - calcium,Block Kids 8-17 Calcium Food Frequency Questionnaire
Block Kids 2-7,Block Kids 2-7 Food Frequency Questionnaire
Block Kids FV-Recall,Block Kids Fruit/Vegetable Recall Questionnaire
Block Kids04,Block Kids 8-17 Food Frequency Questionnaire
Block PA_Adult04,Block Adult Physical Activity Screener - Year
Block Passages,Block Healthy Eating Index Screener
Block StrongHeart - Supp,Block Native American Foods Screener
Block YWHHS,Block Healthy Eating Index FFQ
Predictive Model to Determine the Level of Care in Patients Confirmed with COVID-19,Pred...
Block_Calcium_D,Block Calcium/Vitamin D Screener
Block_K_Screen,Block Kids 2-17 Screener
Block_PA_KID04,Block Kids Physical Activity Screener - Last Week (8-17)
Block-Sister,Block98 Food Frequency Questionnaire - Sisters
FTM,Fahn-Tolosa-Marin Clinical Rating Scale for Tremor
QUEST,Quality of Life in Essential Tremor
RCLASI,Revised Cutaneous Lupus Erythematosus Disease Area and Severity Index
HAQ-II-P,Revised Helping Alliance Questionnaire-Patient
ANSD v1.0,Asthma Nighttime Symptom Diary v1.0
VQoL-YP,Vision-related Quality of Life Questionnaire for Young People
CIAAD,COVID-19 Infectious Acute Abdomen Distinguishment
CoV19-OM ICU Score,CoV19-OM Intensive Care Unit Score
CO-RADS,COVID-19 Reporting and Data System
FOCUS © - Parent,Focus on the Outcomes of Communication Under Six - Parent
FOCUS © - Clinician,Focus on the Outcomes of Communication Under Six - Clinician
FOCUS ©-34-Parent,Focus on the Outcomes of Communication Under Six-34-Parent
FOCUS ©-34-Clinician,Focus on the Outcomes of Communication Under Six-34-Clinician
GTI 2.0,Glucocorticoid Toxicity Index 2.0
CSBS DP™,Communication and Symbolic Behavior Scales Developmental Profile™
CSBS DP™ Infant-Toddler Checklist,Communication and Symbolic Behavior Scales Development...
TOVER,Test of Verbal Expression and Reasoning
PRS-SA,Pragmatic Rating Scale - School Age
PRS,Pragmatic Rating Scale
CELF-5 US,Clinical Evaluation of Language Fundamentals - Fifth Edition - English for the...
CELF-Preschool 3 - US,Clinical Evaluation of Language Fundamentals - Preschool - Third E...
C-BiLLT,Computer-Based instrument for Low motor Language Testing
CASL-2,Comprehensive Assessment of Spoken Language-Second Edition
KSPT,Kaufman Speech Praxis Test
Short CDAI,Shortened and Simplified Crohn's Disease Activity Index
MB-CDI-WG,MacArthur-Bates Communication Development Inventories-Words and Gestures
CRISIS - Adult Self-Report Current Version Baseline,CoRonavIruS health and Impact Survey...
CRISIS - Adult Self-Report Current Version Follow-Up,CoRonavIruS health and Impact Surve...
CRISIS - Parent/Caregiver Current Version Baseline,CoRonavIruS health and Impact Survey ...
CRISIS - Parent/Caregiver Current Version Follow-Up,CoRonavIruS health and Impact Survey...
CRISIS - Youth Self-Report Current Version Baseline,CoRonavIruS health and Impact Survey...
CRISIS - Youth Self-Report Current Version Follow-Up,CoRonavIruS health and Impact Surve...
CRISIS - Youth Self-Report Full-Version Follow-Up,CoRonavIruS health and Impact Survey -...
CRISIS - Youth Self-Report Full-Version Baseline,CoRonavIruS health and Impact Survey - ...
CRISIS AFAR - Youth and Adult Self-Report Version Baseline,CoRonavIruS health and Impact...
GCRS,Galderma Chin Retrusion Scale
WHO Clinical Progression Scale,WHO Clinical Progression Scale
CRISIS AFAR - Youth and Adult Self-Report Version Follow-Up,CoRonavIruS health and Impac...
CKRS,Cincinnati Knee Rating System
CRISIS AFAR - Parent/Caregiver Version for Children and Adolescents Baseline,CoRonavIruS...
CRISIS AFAR - Parent/Caregiver Version for Children and Adolescents Follow-Up,CoRonavIru...
CRISIS AFAR - Parent/Caregiver Version for Adults Follow-Up,CoRonavIruS health and Impac...
CRISIS AFAR - Parent/Caregiver Version for Adults Baseline,CoRonavIruS health and Impact...
CPAQ,Chronic Pain Acceptance Questionnaire
mMOS-SS,modified Medical Outcomes Study Social Support Survey
COVID-19 KAP,"Knowledge, Attitudes, Practices and Information Needs During the COVID-19"
PRIEST COVID-19 Clinical Severity Score,Clinical Severity Score for acutely ill adults w...
NIH Toolbox 2MWT Age 3+ v2.0,NIH Toolbox for Assessment of Neurological and Behavioral F...
PDAQ,Penn Parkinson's Daily Activities Questionnaire
NIH Toolbox 4-Meter Walk Gait Speed Test Age 7+ v2.0,NIH Toolbox for Assessment of Neuro...
NIH Toolbox Grip Strength Test Age 3+ v2.0,NIH Toolbox for Assessment of Neurological an...
NIH Toolbox Standing Balance Test Age 7+ v2.0,NIH Toolbox for Assessment of Neurological...
NEWS2,National Early Warning Score
NIH Toolbox Standing Balance Test Ages 3-6 v2.0,NIH Toolbox for Assessment of Neurologic...
Fatal or critical care unit-treated COVID-19,Fatal or critical care unit-treated COVID-1...
GELP Score,GELP Score
mTLSS,Modified Total Lesion Symptom Score
TTO,Time Trade Off
SAQ,Synkinesis Assessment Questionnaire
Vaizey score,Vaizey score
VR-12©,Veterans RAND 12-Item Health Survey©
VISA-A,Victorian Institute of Sport Assessment-Achilles questionnaire
VISA-P,Victorian Institute of Sport Assessment-Patellar Tendon questionnaire
VISA-H,Victorian Institute of Sport Assessment-Proximal Hamstring Tendons questionnaire
MYMOP,Measure Yourself Medical Outcome Profile
MYMOP2,Measure Yourself Medical Outcome Profile - Revised version
MFSI-SF,Multidimensional Fatigue Symptom Inventory - Short Form
SSS or ZCQ,Modified Swiss Spinal Stenosis Scale or Zurich Claudication Questionnaire
OHIP-20,Oral Health Impact Profile for Edentulous patients
OHIP-EDENT,Oral Health Impact Profile for Edentulous
FIQ,Functional Index Questionnaire
SAS-CGI,Symptoms of Angelman Syndrome – Clinician Global Impression
CPAQ-8,Chronic Pain Acceptance Questionnaire-8
CPAQ-A,Chronic Pain Acceptance Questionnaire - Adolescent
CPAQ-A8,Chronic Pain Acceptance Questionnaire - Adolescent Short Form
